Current Time,Command Name,Command Line,Status,hError
[2025-11-01T21:10:00Z],hklm_SOFTWARE_Classes_Protocols_Filter,"C:\Windows\system32\reg.exe QUERY ""hklm\SOFTWARE\Classes\Protocols\Filter"" /s",Completed,0
[2025-11-01T21:10:00Z],hklm_SOFTWARE_Classes_Protocols_Handler,"C:\Windows\system32\reg.exe QUERY ""hklm\SOFTWARE\Classes\Protocols\Handler"" /s",Completed,0
[2025-11-01T21:10:00Z],hkcu_Software_Classes_All_ShellEx_ContextMenuHandlers,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-500\Software\Classes\*\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-11-01T21:10:00Z],hkcu_Software_Classes_All_ShellEx_ContextMenuHandlers,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-504\Software\Classes\*\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-11-01T21:10:00Z],hklm_Software_Classes_All_ShellEx_ContextMenuHandlers,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Classes\*\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-11-01T21:10:00Z],hklm_Software_Classes_Drive_ShellEx_ContextMenuHandlers,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Classes\Drive\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-11-01T21:10:00Z],hklm_Software_Classes_ALL_ShellEx_PropertySheetHandlers,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Classes\*\ShellEx\PropertySheetHandlers"" /s",Completed,0
[2025-11-01T21:10:00Z],hklm_Software_Classes_Directory_ShellEx_ContextMenuHandlers,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Classes\Directory\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-11-01T21:10:00Z],hklm_Software_Classes_Directory_Background_ShellEx_ContextMenuHandlers,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Classes\Directory\Background\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-11-01T21:10:00Z],hklm_Software_Classes_Folder_ShellEx_ContextMenuHandlers,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Classes\Folder\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-11-01T21:10:00Z],hklm_Software_Microsoft_Windows_CurrentVersion_Explorer_ShellIconOverlayIdentifiers,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Microsoft\Windows\CurrentVersion\Explorer\ShellIconOverlayIdentifiers"" /s",Completed,0
[2025-11-01T21:10:01Z],hklm_Software_Wow6432Node_Microsoft_Windows_CurrentVersion_Explorer_ShellIconOverlayIdentifiers,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\ShellIconOverlayIdentifiers"" /s",Completed,0
[2025-11-01T21:10:01Z],hklm_Software_Microsoft_Windows_CurrentVersion_Explorer_BrowserHelperObjects,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Microsoft\Windows\CurrentVersion\Explorer\Browser Helper Objects"" /s",Completed,0
[2025-11-01T21:10:01Z],hklm_Software_Wow6432Node_Microsoft_Windows_CurrentVersion_Explorer_BrowserHelperObjects,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\Browser Helper Objects"" /s",Completed,0
[2025-11-01T21:10:01Z],hklm_Software_Microsoft_InternetExplorer_Extensions,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Microsoft\Internet Explorer\Extensions"" /s",Completed,0
[2025-11-01T21:10:01Z],hklm_Software_Wow6432Node_Microsoft_InternetExplorer_Extensions,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Internet Explorer\Extensions"" /s",Completed,0
[2025-11-01T21:10:01Z],hklm_Software_Google_Chrome_Extensions,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Google\Chrome\Extensions"" /s",Completed,0
[2025-11-01T21:10:01Z],hklm_Software_Wow6432Node_Google_Chrome_Extensions,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Google\Chrome\Extensions"" /s",Completed,0
[2025-11-01T21:10:14Z],hklm_System_CurrentControlSet_Services,"C:\Windows\system32\reg.exe QUERY ""hklm\System\CurrentControlSet\Services"" /s",Completed,0
[2025-11-01T21:10:14Z],hklm_SOFTWARE_Microsoft_WindowsNT_CurrentVersion_FontDrivers,"C:\Windows\system32\reg.exe QUERY ""hklm\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Font Drivers"" /s",Completed,0
[2025-11-01T21:10:14Z],hklm_Software_Microsoft_WindowsNT_CurrentVersion_Drivers32,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Microsoft\Windows NT\CurrentVersion\Drivers32"" /s",Completed,0
[2025-11-01T21:10:14Z],hklm_Software_Wow6432Node_Microsoft_WindowsNT_CurrentVersion_Drivers32,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Drivers32"" /s",Completed,0
[2025-11-01T21:10:14Z],hklm_SOFTWARE_Classes_Htmlfile_Shell_Open_Command,"C:\Windows\system32\reg.exe QUERY ""hklm\SOFTWARE\Classes\Htmlfile\Shell\Open\Command"" /ve /s",Completed,0
[2025-11-01T21:10:14Z],hklm_SYSTEM_CurrentControlSet_Control_Print_Monitors,"C:\Windows\system32\reg.exe QUERY ""hklm\SYSTEM\CurrentControlSet\Control\Print\Monitors"" /s",Completed,0
[2025-11-01T21:10:14Z],hklm_Software_Microsoft_Office_Outlook_Addins,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Microsoft\Office\Outlook\Addins"" /s",Completed,0
[2025-11-01T21:10:14Z],hkcu_Software_Microsoft_Office_Outlook_Addins,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-500\Software\Microsoft\Office\Outlook\Addins"" /s",Completed,0
[2025-11-01T21:10:14Z],hkcu_Software_Microsoft_Office_Outlook_Addins,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-504\Software\Microsoft\Office\Outlook\Addins"" /s",Completed,0
[2025-11-01T21:10:14Z],hklm_Software_Microsoft_Office_Excel_Addins,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Microsoft\Office\Excel\Addins"" /s",Completed,0
[2025-11-01T21:10:14Z],hkcu_Software_Microsoft_Office_Excel_Addins,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-500\Software\Microsoft\Office\Excel\Addins"" /s",Completed,0
[2025-11-01T21:10:15Z],hkcu_Software_Microsoft_Office_Excel_Addins,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-504\Software\Microsoft\Office\Excel\Addins"" /s",Completed,0
[2025-11-01T21:10:15Z],hklm_Software_Wow6432Node_Microsoft_Office_Excel_Addins,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Office\Excel\Addins"" /s",Completed,0
[2025-11-01T21:10:15Z],hklm_Software_Microsoft_Office_PowerPoint_Addins,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Microsoft\Office\PowerPoint\Addins"" /s",Completed,0
[2025-11-01T21:10:15Z],hkcu_Software_Microsoft_Office_PowerPoint_Addins,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-500\Software\Microsoft\Office\PowerPoint\Addins"" /s",Completed,0
[2025-11-01T21:10:15Z],hkcu_Software_Microsoft_Office_PowerPoint_Addins,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-504\Software\Microsoft\Office\PowerPoint\Addins"" /s",Completed,0
[2025-11-01T21:10:15Z],hklm_Software_Wow6432Node_Microsoft_Office_PowerPoint_Addins,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Office\PowerPoint\Addins"" /s",Completed,0
[2025-11-01T21:10:15Z],hkcu_Software_Microsoft_Office_Word_Addins,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-500\Software\Microsoft\Office\Word\Addins"" /s",Completed,0
[2025-11-01T21:10:15Z],hkcu_Software_Microsoft_Office_Word_Addins,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-504\Software\Microsoft\Office\Word\Addins"" /s",Completed,0
[2025-11-01T21:10:16Z],Prefetch,"C:\Windows\system32\robocopy.exe /MIR C:\Windows\Prefetch ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\1431baed-8195-45d9-bde0-75ae71e98a21\Verbose\Prefetch Files\Prefetch"" /MAXAGE:20251025",Completed,0
[2025-11-01T21:10:16Z],SmbInboundSessions,"C:\Windows\system32\net.exe session",Completed,0
[2025-11-01T21:10:16Z],SmbOutboundSessions,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-500\Network"" /s",Completed,0
[2025-11-01T21:10:16Z],SmbOutboundSessions,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1507614695-4182474451-1600760805-504\Network"" /s",Completed,0
[2025-11-01T21:10:16Z],QueryUser,"C:\Windows\system32\query.exe user",Completed,0
[2025-11-01T21:10:17Z],FirewallLog,"C:\Windows\system32\cmd.exe /C ""for /f ""tokens=2 delims= "" %F in ('netsh advfirewall show currentprofile ^| findstr pfirewall.log') do cmd /C xcopy /F /Y /Q ""%F"" ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\1431baed-8195-45d9-bde0-75ae71e98a21\..\"" & cmd /C move ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\1431baed-8195-45d9-bde0-75ae71e98a21\..\pfirewall.log"" ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\1431baed-8195-45d9-bde0-75ae71e98a21\Network Connections\pfirewall.log""""",Completed,0
[2025-11-01T21:10:20Z],SystemInformation,"C:\Windows\system32\cmd.exe /C ""C:\Windows\system32\systeminfo.exe""",Completed,0
[2025-11-01T21:10:21Z],ProcessList,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe ""Get-CimInstance -ClassName Win32_Process | ConvertTo-Csv""",Completed,0
[2025-11-01T21:10:23Z],Services,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe ""Get-CimInstance -ClassName Win32_Service | ConvertTo-Csv""",Completed,0
[2025-11-01T21:10:25Z],WmicInstalledPrograms,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe ""Get-CimInstance -ClassName Win32_Product | Select-Object Caption,Description,IdentifyingNumber,InstallDate,InstallDate2,InstallLocation,InstallSource,InstallState,Language,LocalPackage,Name,PackageCache,PackageCode,PackageName,ProductID,Vendor,Version | ConvertTo-Csv""",Completed,0
